"expen","age_ref","sex_ref","white","black","american_indian","asian","other","multi_race","welf_reic","welf_not_reiv","fwagexm","year","quarter"
231.96,43,2,1,0,0,0,0,0,0,1,22000,2017,1
470.74,51,1,1,0,0,0,0,0,0,1,466461.5,2017,1
704.09,51,1,1,0,0,0,0,0,0,1,466461.5,2017,1
283.46,32,2,1,0,0,0,0,0,0,1,82000,2017,1
139.9,32,2,1,0,0,0,0,0,0,1,82000,2017,1
274.03,56,2,1,0,0,0,0,0,0,1,33500,2017,1
50,56,2,1,0,0,0,0,0,0,1,33500,2017,1
154.00002,28,2,1,0,0,0,0,0,0,1,30000,2017,1
90.24,28,2,1,0,0,0,0,0,0,1,30000,2017,1
468.86,48,2,0,1,0,0,0,0,0,1,49196,2017,1
337.79,48,2,0,1,0,0,0,0,0,1,49196,2017,1
641.44,54,1,1,0,0,0,0,0,0,1,150000,2017,1
360.62667,54,1,1,0,0,0,0,0,0,1,150000,2017,1
987.76811,48,2,1,0,0,0,0,0,0,1,311341.2,2017,1
1030.62946,48,2,1,0,0,0,0,0,0,1,323859.8,2017,1
202.39,81,2,1,0,0,0,0,0,0,1,30000,2017,1
267.38,81,2,1,0,0,0,0,0,0,1,30000,2017,1
255.27,33,2,1,0,0,0,0,0,0,1,98640,2017,1
367.12,33,2,1,0,0,0,0,0,0,1,98640,2017,1
474.99671,35,1,1,0,0,0,0,0,0,1,85000,2017,1
684.0086,35,1,1,0,0,0,0,0,0,1,85000,2017,1
218.61408,66,1,0,1,0,0,0,0,0,1,45000,2017,1
130.08781,66,1,0,1,0,0,0,0,0,1,45000,2017,1
80,37,1,1,0,0,0,0,0,0,1,93518.8,2017,1
100.4,56,1,1,0,0,0,0,0,0,1,74383.2,2017,1
171.1,60,2,1,0,0,0,0,0,0,1,101561.4,2017,1
110.79002,60,2,1,0,0,0,0,0,0,1,71188.2,2017,1
289.08,88,1,1,0,0,0,0,0,0,1,11935.8,2017,1
265.44,88,1,1,0,0,0,0,0,0,1,3860.8,2017,1
335.62,41,2,1,0,0,0,0,0,0,1,61000,2017,1
11.28,41,2,1,0,0,0,0,0,0,1,61000,2017,1
119.71,64,1,1,0,0,0,0,0,0,1,77171.4,2017,1
137.75,64,1,1,0,0,0,0,0,0,1,78038.8,2017,1
870.03002,79,2,1,0,0,0,0,0,0,1,160216,2017,1
1301.65,79,2,1,0,0,0,0,0,0,1,160216,2017,1
313.06506,52,1,1,0,0,0,0,0,0,1,176590,2017,1
1112.22941,52,1,1,0,0,0,0,0,0,1,183319.8,2017,1
1679.63042,64,2,0,0,0,1,0,0,0,1,209725.8,2017,1
1727.48996,64,2,0,0,0,1,0,0,0,1,212577.6,2017,1
544.83002,48,2,0,1,0,0,0,0,0,1,37142.2,2017,1
348.86,48,2,0,1,0,0,0,0,0,1,34398,2017,1
278.47986,67,1,1,0,0,0,0,0,0,1,19596.2,2017,1
237.06002,67,1,1,0,0,0,0,0,0,1,50961.2,2017,1
601.4,39,2,1,0,0,0,0,0,0,1,40583.8,2017,1
776.83,39,2,1,0,0,0,0,0,0,1,41488.4,2017,1
615.60004,26,2,0,0,0,1,0,0,0,1,1320,2017,1
8.86535,26,2,0,0,0,1,0,0,0,1,1320,2017,1
1389.38,66,1,0,0,0,0,0,1,0,1,64442.4,2017,1
1519.19,66,1,0,0,0,0,0,1,0,1,91609.8,2017,1
568.26,45,2,1,0,0,0,0,0,0,1,25512,2017,1
279.44,45,2,1,0,0,0,0,0,0,1,26206.8,2017,1
226.33,41,2,1,0,0,0,0,0,0,1,89000,2017,1
311.21,41,2,1,0,0,0,0,0,0,1,89000,2017,1
400.04,74,1,1,0,0,0,0,0,0,1,12000,2017,1
291.44998,74,1,1,0,0,0,0,0,0,1,12000,2017,1
587.66,66,2,1,0,0,0,0,0,0,1,150000,2017,1
336.05873,66,2,1,0,0,0,0,0,0,1,150000,2017,1
87.31,59,1,0,0,1,0,0,0,0,1,20000,2017,1
269.05,59,1,0,0,1,0,0,0,0,1,20000,2017,1
73.51826,73,1,1,0,0,0,0,0,0,1,10000,2017,1
35.14,73,1,1,0,0,0,0,0,0,1,10000,2017,1
341.83,63,1,1,0,0,0,0,0,0,1,80000,2017,1
350.4,63,1,1,0,0,0,0,0,0,1,80000,2017,1
68.46,66,1,1,0,0,0,0,0,0,1,24745.6,2017,1
39.5,47,1,1,0,0,0,0,0,0,1,24075.6,2017,1
450.64,29,2,1,0,0,0,0,0,0,1,108000,2017,1
149.52,29,2,1,0,0,0,0,0,0,1,108000,2017,1
82.82,67,1,1,0,0,0,0,0,0,1,21774.2,2017,1
35.34,88,1,1,0,0,0,0,0,0,1,35270.2,2017,1
46.4,71,1,1,0,0,0,0,0,0,1,78591.6,2017,1
167.11998,71,1,1,0,0,0,0,0,0,1,81942.2,2017,1
254.50998,24,2,0,1,0,0,0,0,0,1,20000,2017,1
74.72,24,2,0,1,0,0,0,0,0,1,20000,2017,1
533.88,68,1,1,0,0,0,0,0,0,1,21480.8,2017,1
476.06572,68,1,1,0,0,0,0,0,0,1,52656.2,2017,1
491.50998,70,1,1,0,0,0,0,0,0,1,233230.8,2017,1
518.23,70,1,1,0,0,0,0,0,0,1,233230.8,2017,1
350.6,31,2,1,0,0,0,0,0,0,1,26000,2017,1
409.16,31,2,1,0,0,0,0,0,0,1,26000,2017,1
117.46,32,2,1,0,0,0,0,0,1,0,25188,2017,1
839.93,32,2,1,0,0,0,0,0,1,0,23431,2017,1
687.98408,33,1,1,0,0,0,0,0,0,1,363230.8,2017,1
837.37,33,1,1,0,0,0,0,0,0,1,363230.8,2017,1
441.82,52,1,1,0,0,0,0,0,0,1,92564,2017,1
551.89,52,1,1,0,0,0,0,0,0,1,95445.4,2017,1
185.22448,41,2,1,0,0,0,0,0,0,1,9600,2017,1
109.21,41,2,1,0,0,0,0,0,0,1,9600,2017,1
533.89,41,1,1,0,0,0,0,0,0,1,117324.6,2017,1
910.34,41,1,1,0,0,0,0,0,0,1,113735.8,2017,1
135.62,44,1,1,0,0,0,0,0,0,1,116110.2,2017,1
243.84,44,1,1,0,0,0,0,0,0,1,278011.2,2017,1
963.38827,42,1,1,0,0,0,0,0,0,1,253230.8,2017,1
939.64382,42,1,1,0,0,0,0,0,0,1,253230.8,2017,1
146.79,68,2,1,0,0,0,0,0,0,1,17167,2017,1
566.11,68,2,1,0,0,0,0,0,0,1,17167,2017,1
92.88,26,1,1,0,0,0,0,0,0,1,6400,2017,1
117.08,26,1,1,0,0,0,0,0,0,1,6400,2017,1
459.27,62,2,1,0,0,0,0,0,0,1,233230.8,2017,1
389.88,62,2,1,0,0,0,0,0,0,1,233230.8,2017,1
386.29,24,1,1,0,0,0,0,0,0,1,20000,2017,1
511.18882,24,1,1,0,0,0,0,0,0,1,20000,2017,1
464,40,2,1,0,0,0,0,0,0,1,307230.8,2017,1
644.82,40,2,1,0,0,0,0,0,0,1,307230.8,2017,1
600.09002,40,2,1,0,0,0,0,0,0,1,115941.4,2017,1
186.35,24,2,1,0,0,0,0,0,0,1,4400,2017,1
235.23,24,2,1,0,0,0,0,0,0,1,4400,2017,1
452.57,48,2,1,0,0,0,0,0,0,1,103000,2017,1
333.67,48,2,1,0,0,0,0,0,0,1,103000,2017,1
199.06673,88,1,1,0,0,0,0,0,0,1,3600,2017,1
49,88,1,1,0,0,0,0,0,0,1,3600,2017,1
159.23,60,2,1,0,0,0,0,0,0,1,35000,2017,1
115.59,60,2,1,0,0,0,0,0,0,1,35000,2017,1
87.72,65,2,1,0,0,0,0,0,0,1,35000,2017,1
173.88,65,2,1,0,0,0,0,0,0,1,35000,2017,1
328.23,44,1,1,0,0,0,0,0,0,1,40000,2017,1
107.26,44,1,1,0,0,0,0,0,0,1,40000,2017,1
615.87,54,2,1,0,0,0,0,0,0,1,34021.4,2017,1
206.16,54,2,1,0,0,0,0,0,0,1,35071,2017,1
800.00002,55,1,1,0,0,0,0,0,0,1,103075,2017,1
194.4,55,1,1,0,0,0,0,0,0,1,92971.2,2017,1
820.55735,41,1,1,0,0,0,0,0,0,1,466461.5,2017,1
1193.43,41,1,1,0,0,0,0,0,0,1,466461.5,2017,1
728.08996,35,1,1,0,0,0,0,0,0,1,28056.8,2017,1
700.16998,35,1,1,0,0,0,0,0,0,1,28429.4,2017,1
459.99,23,1,1,0,0,0,0,0,0,1,55285.8,2017,1
286.52327,23,1,1,0,0,0,0,0,0,1,55917,2017,1
401.61,37,2,1,0,0,0,0,0,1,0,25200,2017,1
243.37,37,2,1,0,0,0,0,0,1,0,25200,2017,1
209.25881,42,2,1,0,0,0,0,0,0,1,31654,2017,1
67.88,42,2,1,0,0,0,0,0,0,1,32416.6,2017,1
404.31,70,2,1,0,0,0,0,0,0,1,14000,2017,1
473.21,70,2,1,0,0,0,0,0,0,1,14000,2017,1
227.69,24,1,1,0,0,0,0,0,0,1,55000,2017,1
60,24,1,1,0,0,0,0,0,0,1,55000,2017,1
